location_name,neighbourhood,sub_category,legend_category,address,ai_description,quirky_title,geometry,longitude,latitude
Skautský institut,Staré Město,conference venue,conference,"Staroměstské náměstí 4/1, Praha 1","Here will be most of the meeting! Skautský institut used to host an office of USE-IT Prague, and this is where people can get all the maps we display! This spot, in the heart of crowded touristic Old Town Square, this space keeps a local spirit, with a café at the 1rst floor, and with 3 floors of balconies where you can hang out and enjoy the sun! ",Scouting Wonderland,POINT (14.4198587 50.0866666),14.4198587,50.0866666
Country Life Restaurant,Staré Město,vegan/vegeterian,eat,"Melantrichova 15, Praha 1","Do you find Czech cuisine with dumplings and meat too heavy and unhealthy? Not even tempted by fried cheese? In this self-service canteen hidden in a courtyard between Melantrichova and Michalská streets, you can choose from a wide variety of vegetarian and vegan dishes. There is also a small shop with healthy and organic food at the entrance from Melantrichova Street.",Organic Lifestyle Choice,POINT (14.4205251 50.085688),14.4205251,50.085688
Kafe Damu,Staré Město,café,drink,"Karlova 26, Praha 1","Where in Prague are you sure to meet future Czech theater and film stars? Here! Although this student café (located in the building of the Academy of Performing Arts) is right on the main tourist route, most tourists pass it by without noticing. Luckily! During the day you can enjoy good coffee, beer, and a snack here in peace. In the evening, it's usually more crowded, especially if there is a performance in the neighboring hall.",Theater Brew Haven,POINT (14.4172101 50.0858996),14.4172101,50.0858996
Bageterie Boulevard,Staré Město,fast food,eat,"Karlova 22, Praha 1","Feeling hungry and tempted by fast food? Forget about McDonald's and KFC, we have a better alternative in the Czech Republic! Here you'll find a wide variety of hot and cold sandwiches with various flavors. You're sure to find something you like. There are also many other treats available, all within a few minutes and at a good price. A reliable place for breakfast or a late ""dinner"" (daily 8:00 AM–12:00 AM, Fri & Sat till 1:00 AM). You can find BB branches all over the city, e.g. also at Železná 7.",Gourmet on the Go,POINT (14.4167066 50.0859153),14.4167066,50.0859153
Crème de la Crème,Staré Město,ice cream,eat,"Husova 12, Praha 1",How to spot a naive tourist? They're walking down the street with an overpriced trdelník filled with cheap ice cream that's melting all over their hands. Most of these trdelník quickly end up in the trash. Be smarter and go to one of the best ice cream parlors in Prague! Choose from a wide variety of gelato and vegan fruit sorbets. Yum!,Dessert Paradise,POINT (14.4182655 50.0858082),14.4182655,50.0858082
Fashion Shop PARAZIT,Staré Město,fashion store,buy some souvenir,"Karlova 25, Praha 1","Looking for some shopping inspiration? Avoid the overpriced international brands on Pařížská Street and the tacky souvenirs of questionable origin. Instead, discover this hidden gem in one of the Old Town courtyards. Here you'll find a treasure trove of original clothing, trendy fashion accessories, and design products by local designers and creators. Take home a stylish piece of Prague!",Alternative Melting Pot,POINT (14.418814 50.086445),14.418814,50.086445
Krčma,Staré Město,restaurant pub,eat,"Kostečná 4, Praha 1","A local pub with Czech cuisine and beer at a good price just a few steps from luxury shops - is it even possible? Yes! If the tables outside are full, don't hesitate and go down a few stairs inside. You'll find yourself in a stylish environment with a medieval atmosphere. Are you really hungry and thirsty? This is the right place for you!",Cozy Czech Tavern,POINT (14.4201723 50.08901870000001),14.4201723,50.0890187
Žabka,Staré Město,grocery,shop,"Maislova 8, Praha 1","It may look like just another small grocery store, but Žabka is a real find near Old Town Square. Here you can shop for groceries at fair prices, unlike most overpriced minimarkets in the center that are full of kitschy souvenirs and green bottles of unknown contents passed off as absinthe (which no locals drink). Žabka stores are open daily from 6:00 AM to 11:00 PM, and you can pay in crowns, by card, or in euros. You can find other branches at Celetná 17 or Kaprova 9.",Snack Oasis,POINT (14.4187548 50.0884793),14.4187548,50.0884793
Restaurace Mincovna,Staré Město,restaurant pub,eat lunch menu,"Staroměstské náměstí 7, Praha 1","Standing in front of the Old Town Astronomical Clock and wondering where to eat? Avoid the overpriced restaurants with terraces around the square, walk around the statue of Jan Hus, and find a real treasure in the northeastern corner of the square. The prices are a bit higher, but they are completely reasonable for the quality and location. On weekdays, be sure to ask for the lunch menu (main course for 7–9 EUR). And to top it off, a perfectly poured Pilsner Urquell for 3 EUR. Do you love that fine beer foam? Try Šnyt or Mlíko! Still thirsty? Try the black Kozel or a mixed beer!",Laid-back Nightspot,POINT (14.4212728 50.0882963),14.4212728,50.0882963
The Miners Coffee Old Town,Staré Město,café,drink,"Železná 14, Praha 1","Are you a discerning and demanding coffee lover? In this small café with a tasteful minimalist interior, you'll definitely get great coffee. Are you running out of coffee at home? Check out the current offer of packaged specialty coffee beans!",Subterranean Sips,POINT (14.4218181 50.08638209999999),14.4218181,50.0863821
Zázemí 2,Staré Město,bar,drink,"Michalská 12, Praha 1","Looking for a hidden bar where you can meet local students and intellectuals? Enjoy the lively and informal atmosphere, the cozy and slightly shabby interior, low prices, and in warm weather, pleasant seating in the courtyard. Respectful tourists are welcome until 2:00 AM.",Prague's Nightbeat Hub,POINT (14.4200703 50.0850663),14.4200703,50.0850663
Dhaba Beas,Staré Město,vegan/vegeterian,eat lunch menu,"Týnská 19, Praha 1","If you got lost and your way and desperately need a fast place to eat vegetarian, Dhabas Beas can be very useful since this chain can be found almost everywhere in town. ",Rescuing Vegetarian Chain,POINT (14.423718 50.088756),14.423718,50.088756
Mezi řádky U Radnice,Staré Město,"bakery, snack",eat,"U Radnice 1, Praha 1",Non-profit organization with the purpose to employ people with handicap. We mostly recommand this one for their pasteries :),Bistro With Social Concept,POINT (14.4190306 50.08727669999999),14.4190306,50.0872767
Havelská Koruna,Staré Město,restaurant pub,eat lunch menu,"Havelská 21 a 23, Praha 1",,,POINT (14.4216261 50.08550959999999),14.4216261,50.0855096
Kozlovna Apropos,Staré Město,restaurant pub,eat lunch menu,"Křižovnická 4, Praha 1",,,POINT (14.415249 50.08736500000001),14.415249,50.087365
Jizerske Pekarny,Staré Město,"bakery, snack",try czech delicacy,"Dlouhá 1, Praha 1",,,POINT (14.4216776 50.0887876),14.4216776,50.0887876
Bageterie Boulevard,Staré Město,fast food,eat,"Kamzíková 1, Praha 1","Feeling hungry and tempted by fast food? Forget about McDonald's and KFC, we have a better alternative in the Czech Republic! Here you'll find a wide variety of hot and cold sandwiches with various flavors. You're sure to find something you like. There are also many other treats available, all within a few minutes and at a good price. A reliable place for breakfast or a late ""dinner"" (daily 8:00 AM–12:00 AM, Fri & Sat till 1:00 AM). You can find BB branches all over the city, e.g. also at Železná 7.",Gourmet on the Go,POINT (14.4226211 50.08628960000001),14.4226211,50.0862896
Bageterie Boulevard,Staré Město,fast food,eat,"Karlova 22, Praha 1","Feeling hungry and tempted by fast food? Forget about McDonald's and KFC, we have a better alternative in the Czech Republic! Here you'll find a wide variety of hot and cold sandwiches with various flavors. You're sure to find something you like. There are also many other treats available, all within a few minutes and at a good price. A reliable place for breakfast or a late ""dinner"" (daily 8:00 AM–12:00 AM, Fri & Sat till 1:00 AM). You can find BB branches all over the city, e.g. also at Železná 7.",Gourmet on the Go,POINT (14.4167066 50.0859153),14.4167066,50.0859153
Husovka,Staré Město,,drink,"Husova 9, Praha 1",,,POINT (14.4178412 50.08518989999999),14.4178412,50.0851899
Las Adelitas,Staré Město,,eat lunch menu,"Malé náměstí 13, Praha 1",,,POINT (14.4194974 50.0863489),14.4194974,50.0863489
Masna Kozí,Staré Město,,eat lunch menu,"Kozí 9, Praha 1",,,POINT (14.4224562 50.0904848),14.4224562,50.0904848
Kolacherie,Staré Město,"bakery, snack",try czech delicacy,"Celetná 27, Praha 1",,,POINT (14.4258269 50.0872724),14.4258269,50.0872724
KOH-I-NOOR Hardtmuth,Staré Město,stationery,buy some souvenir,"Na Příkopě 24, Praha 1",,,POINT (14.4279601 50.08670189999999),14.4279601,50.0867019
Bohéma,Staré Město,souvenir shop,buy some souvenir,"Palackého 7, Praha 1",,,POINT (14.4232947 50.08107),14.4232947,50.08107
Botel Vodník,Smíchov,accomodation,conference,"Strakonická 948/1, Praha 5",,River Float Retreat,POINT (14.4114068 50.0630627),14.4114068,50.0630627
Eaternia Vegan,Smíchov,vegan/vegeterian,eat dinner,"Nádražní 3, Praha 5","Although this street near the Smíchov train station doesn't look very attractive at first glance, there are a few places here that are definitely worth a visit. Eaternia is one of the most popular vegan restaurants in Prague with a wide variety of dishes, a pleasant atmosphere, friendly staff, and good prices. Animals and planet Earth definitely love this place.",Culinary Fusion Adventure,POINT (14.4076466 50.0655924),14.4076466,50.0655924
Italians,Smíchov,"bakery, snack",eat,"Strakonická 1, Praha 5","If you love Italian gastronomy, you can't miss this famous place. Here you will find a grocery store, bistro, bakery and delicatessen. So many delicacies under one roof! You will definitely not be able to taste everything during one visit.",European Elegance Cafe,POINT (14.4103504 50.0631245),14.4103504,50.0631245
Potrefená husa Na Verandách,Smíchov,restaurant pub,eat dinner,"Nádražní 84, Praha 5","There are many pubs and restaurants in Smíchov, but only one is located in the building of the largest brewery in Prague. Here you can get a well-poured lager, and if you like traditional Czech food, you will surely find something to your taste.",Panoramic Tranquility,POINT (14.4066351 50.06849709999999),14.4066351,50.0684971
My Viet Restaurace,Smíchov,restaurant pub,enjoy vietnamese culture,"Rozkošného 6, Praha 5 ",,,POINT (14.409646 50.06194929999999),14.409646,50.0619493
Puro Gelato,Smíchov,ice cream,eat,"Na Hrobci 1, Praha 2","It's a beautiful day and you got a taste for ice cream while walking by the river? You probably won't be the only one, so be prepared for a queue of other gourmets. Once you get your long-awaited portion of sweet cold treat, you'll agree that the wait was worth it. Life is sweet!",Italian-Inspired Treats,POINT (14.4150572 50.06827879999999),14.4150572,50.0682788
Underdogs',Smíchov,club & bar,go out,"Nádražní 3, Praha 5","Want to experience the local alternative music scene? This underground bar is the right place for you. Have a drink and listen to a concert of both new and established bands and performers of various alternative genres (punk, metal, indie, electro, hip-hop, etc.). Not for mainstream lovers.",Artistic Soul Space,POINT (14.4076931 50.06568439999999),14.4076931,50.0656844
Smíchovská náplavka,Smíchov,bar,chill,"Hořejší nábřeží, Praha 5","Is the weather nice? Do you want to sit outside on the banks of the Vltava River with a picturesque view of the historic railway bridge and Vyšehrad towering on a rock above the river? Choose from one of the many cafes, wine bars and bars on the waterfront and enjoy the relaxed atmosphere. And don't worry, if it gets cold or starts to rain, the local businesses offer indoor seating. Is the sun too hot? Here you will be in the shade in the afternoon and evening hours, unlike the New Town embankment on the opposite bank. And if you like to read or do woodwork, visit DOK16, a community workshop with a library.",Riverside Vibes,POINT (14.4116055 50.068442),14.4116055,50.068442
(A)void Floating Gallery,Smíchov,bar,drink,"Náplavka, Praha 2","Don't know which of the many bars on the New Town embankment to choose? We do! This rusty ship parked by the railway bridge offers one of the most beautiful views of Prague during and after sunset. The colorful sky reflected on the surface of the river, the iconic silhouette of Prague Castle in the distance, sitting on the deck and a wide selection of beers and drinks. What more could you wish for on a warm evening?!",Avant-Garde Afloat,POINT (14.4144219 50.0679692),14.4144219,50.0679692
Kafe Kolej,Smíchov,café,drink,"Nádražní 1, Praha 5",Good coffee on the go! You can definitely get it at the inconspicuous Kafe Kolej stand in front of the entrance to the train station building. An experienced barista will carefully prepare it for you from selected coffee beans. And how the coffee smells! And the day is immediately more pleasant.,Academic Coffee Hub,POINT (14.4090078 50.0611881),14.4090078,50.0611881
Pastva,Smíchov,vegan/vegeterian,eat dinner,"Nádražní 102, Praha 5",Vegan restaurant & café,,POINT (14.4055583 50.0698944),14.4055583,50.0698944
U Váhy měšťanský hostinec,Smíchov,restaurant pub,eat dinner,"Nádražní 88, Praha 5",,,POINT (14.4062132 50.0689749),14.4062132,50.0689749
Restaurace U Kristiána,Smíchov,restaurant pub,eat dinner,"Vltavská 8, Praha 5",,,POINT (14.4094907 50.0700703),14.4094907,50.0700703
Cukrárna Hájek&Hájková,Smíchov,"bakery, snack",try czech delicacy,"Nádražní 9, Praha 5",,,POINT (14.4066415 50.06801470000001),14.4066415,50.0680147
Libeřské lahůdky,Smíchov,"bakery, snack",try czech delicacy,"Ostrovského 2, Praha 5",,,POINT (14.4055009 50.0694087),14.4055009,50.0694087
Ugo,Smíchov,"bakery, snack",eat,"Plzeňská 8, Praha 5",Czech fast-food chain,,POINT (14.4032896 50.07215309999999),14.4032896,50.0721531
Bageterie Boulevard,Smíchov,"bakery, snack",eat,"Plzeňská 8, Praha 5","Feeling hungry and tempted by fast food? Forget about McDonald's and KFC, we have a better alternative in the Czech Republic! Here you'll find a wide variety of hot and cold sandwiches with various flavors. You're sure to find something you like. There are also many other treats available, all within a few minutes and at a good price. A reliable place for breakfast or a late ""dinner"" (daily 8:00 AM–12:00 AM, Fri & Sat till 1:00 AM). You can find BB branches all over the city, e.g. also at Železná 7.",Gourmet on the Go,POINT (14.4042001 50.07246079999999),14.4042001,50.0724608
Jídelna Marjánka,Smíchov,cantine,eat dinner,"Na Bělidle 38, Praha 5","Czech food, all night long, for cheap. What do you need else? ",Non-Stop Canteen,POINT (14.4050652 50.07167419999999),14.4050652,50.0716742
Smíchovský radniční sklípek,Smíchov,,eat dinner,"Preslova 4, Praha 5",,,POINT (14.4069134 50.07278600000001),14.4069134,50.072786
